transitive	salim	Table-base
تَحادَبَ	5	ل
اِحْدَوْدَبَ	6	ل
حَدَثَ	3	ل
حَدَّثَ	4	ل/م
حادَثَ	4	م
أَحْدَثَ	4	ل/م
تَحَدَّثَ	5	ل
تَحادَثَ	5	ل
اِسْتَحْدَثَ	6	م
حَدَجَ	3	م
حَدَّجَ	4	ل/م
أَحْدَجَ	4	ل/م
حَدَّ	3	ل
حَدَّ	3	م
حَدَّدَ	4	ل/م
حادَّ	4	م
أَحَدَّ	4	ل/م
تَحَدَّدَ	5	ل
تَحادَّ	5	ل
اِحْتَدَّ	5	ل/م
اِسْتَحَدَّ	6	ل
حَدَرَ	3	م/ل
حَدِرَ	3	ل
حَدَّرَ	4	ل/م
أَحْدَرَ	4	ل/م
تَحَدَّرَ	5	ل
تَحادَرَ	5	ل
اِنْحَدَرَ	5	ل
حَدَسَ	3	ل/م
تَحَدَّسَ	5	م/ل
حَدَقَ	3	م/ل
حَدَّقَ	4	ل
أَحْدَقَ	4	ل
حَدِلَ	3	ل
حادَلَ	4	م
تَحادَلَ	5	ل
حَدَمَ	3	م
حَدِمَ	3	ل
أَحْدَمَ	4	ل/م
تَحَدَّمَ	5	ل
اِحْتَدَمَ	5	ل
حَدا	3	م/ل
حَدَى	3	م
تَحَدَّى	5	م
اِحْتَدَى	5	م
حَذَّ	3	م
حَذَّ	3	ل
حَذِرَ	3	ل/م
حَذَّرَ	4	م
حاذَرَ	4	م
حَذَفَ	3	م
حَذَّفَ	4	م
اِحْتَذَفَ	5	م
حَذَقَ	3	ل/م
تَحَذَّقَ	5	ل
اِنْحَذَقَ	5	ل
أَحْذَقَ	4	م
حَذِلَ	3	ل
أَحْذَلَ	4	م
حَذَمَ	3	ل/م
حَذا	3	م
حَذَى	3	م
حاذَى	4	ل
أَحْذَى	4	م
تَحاذَى	5	م
اِحْتَذَى	5	ل/م
اِسْتَحْذَى	6	م
حَرَبَ	3	م
حَرِبَ	3	ل
حَرَّبَ	4	م
حارَبَ	4	م
أَحْرَبَ	4	ل/م
تَحارَبَ	5	ل
اِحْتَرَبَ	5	ل/م
حَرَتَ	3	م
حَرَثَ	3	م
أَحْرَثَ	4	م
اِحْتَرَثَ	5	م
حَرَجَ	3	م
حَرِجَ	3	ل/م
حَرَّجَ	4	م/ل
أَحْرَجَ	4	ل/م
تَحَرَّجَ	5	ل/م
حَرَدَ	3	م/ل
حَرِدَ	3	ل
حَرَّدَ	4	ل/م
حارَدَ	4	ل
أَحْرَدَ	4	ل/م
تَحَرَّدَ	5	ل
اِنْحَرَدَ	5	ل
حَرَّ	3	ل
حَرَّ	3	م
حَرَّ	3	ل
حَرَّرَ	4	م
أَحَرَّ	4	ل/م
اِسْتَحَرَّ	6	ل/م
حَرَزَ	3	م
حَرُزَ	3	ل
حَرِزَ	3	ل
حَرَّزَ	4	م
أَحْرَزَ	4	م
تَحَرَّزَ	5	ل
اِحْتَرَزَ	5	ل
اِسْتَحْرَزَ	6	ل
حَرَسَ	3	م
حَرِسَ	3	ل
أَحْرَسَ	4	ل
تَحَرَّسَ	5	ل
اِحْتَرَسَ	5	ل
حَرَشَ	3	م/ل
حَرُشَ	3	ل
حَرِشَ	3	ل
حَرَّشَ	4	ل/م
حارَشَ	4	م
أَحْرَشَ	4	م
تَحَرَّشَ	5	ل
اِحْتَرَشَ	5	م/ل
حَرَصَ	3	ل/م
حَرَّصَ	4	م
تَحَرَّصَ	5	م
اِحْتَرَصَ	5	ل
حَرَضَ	3	ل/م
حَرُضَ	3	ل
حَرِضَ	3	ل
حَرَّضَ	4	م
حارَضَ	4	ل
أَحْرَضَ	4	ل/م
تَحارَضَ	5	ل
حَرَفَ	3	ل
حَرَفَ	3	م
حَرُفَ	3	ل
حَرَّفَ	4	م
حارَفَ	4	م
أَحْرَفَ	4	ل/م
تَحَرَّفَ	5	ل
اِنْحَرَفَ	5	ل
اِحْتَرَفَ	5	ل
حَرَقَ	3	م/ل
حَرِقَ	3	ل
حَرَّقَ	4	م
أَحْرَقَ	4	م
تَحَرَّقَ	5	ل
اِحْتَرَقَ	5	ل
حَرَكَ	3	ل/م
حَرَكَ	3	ل
حَرُكَ	3	ل
حَرِكَ	3	ل
حَرَّكَ	4	م
تَحَرَّكَ	5	ل
حَرَمَ	3	م
حَرُمَ	3	ل
حَرَّمَ	4	م
أَحْرَمَ	4	ل
تَحَرَّمَ	5	ل
اِحْتَرَمَ	5	م
اِسْتَحْرَمَ	6	م
حَرَنَ	3	ل
حَرا	3	ل
حَرَى	3	ل/م
أَحْرَى	4	م
حَزَأَ	3	م
اِحْزَوْزَأَ	6	ل
حَزَبَ	3	ل/م
حَزَّبَ	4	م
حازَبَ	4	م
تَحَزَّبَ	5	ل
تَحازَبَ	5	ل
حَزَرَ	3	ل/م
حَزَّ	3	م/ل
حَزَّزَ	4	م
حازَّ	4	م
أَحَزَّ	4	ل
اِحْتَزَّ	5	م
حَزَقَ	3	ل/م
أَحْزَقَ	4	م
تَحَزَّقَ	5	ل
حَزَمَ	3	م
حَزُمَ	3	ل
حَزِمَ	3	ل
حَزَّمَ	4	م
أَحْزَمَ	4	م
تَحَزَّمَ	5	ل
اِحْتَزَمَ	5	ل
حَزَنَ	3	م
حَزُنَ	3	ل
حَزِنَ	3	ل
حَزَّنَ	4	ل/م
أَحْزَنَ	4	ل/م
تَحَزَّنَ	5	ل
تَحازَنَ	5	ل
حَزا	3	ل/م
أَحْزَى	4	ل/م
تَحَزَّى	5	ل
حَسَبَ	3	م
حَسُبَ	3	ل
حَسِبَ	3	ل/م
حَسِبَ	3	م
حَسَّبَ	4	م
حاسَبَ	4	م
أَحْسَبَ	4	ل/م
تَحَسَّبَ	5	م
تَحاسَبَ	5	ل
اِحْتَسَبَ	5	ل/م
حَسَدَ	3	م
أَحْسَدَ	4	م
تَحاسَدَ	5	ل
حَسَرَ	3	ل/م
حَسُرَ	3	ل
حَسِرَ	3	ل
حَسَّرَ	4	ل/م
أَحْسَرَ	4	م
تَحَسَّرَ	5	ل
اِنْحَسَرَ	5	ل
اِسْتَحْسَرَ	6	ل
حَسَّ	3	م/ل
أَحَسَّ	4	م/ل
تَحَسَّسَ	5	م/ل
اِنْحَسَّ	5	ل
حَسَفَ	3	م
حَسِفَ	3	ل
حَسَّفَ	4	م
أَحْسَفَ	4	م
تَحَسَّفَ	5	ل
اِنْحَسَفَ	5	ل
حَسِكَ	3	ل
حَسَّكَ	4	ل
أَحْسَكَ	4	ل/م
حَسَلَ	3	ل
حَسَّلَ	4	ل
اِحْتَسَلَ	5	ل
حَسَمَ	3	ل/م
حَسُنَ	3	ل
حَسَّنَ	4	م
حاسَنَ	4	م
أَحْسَنَ	4	ل/م
تَحَسَّنَ	5	ل
اِسْتَحْسَنَ	6	م
حَسا	3	م
حَسَّى	4	م
حاسَى	4	م
أَحْسَى	4	م
تَحَسَّى	5	م
تَحاسَى	5	ل/م
اِحْتَسَى	5	م
حَسِيَ	3	م
حَسَّى	4	م
اِحْتَسَى	5	م
حَشَأَ	3	م
أَحْشَبَ	4	م
اِحْتَشَبَ	5	ل
حَشَدَ	3	ل
حَشَدَ	3	م
أَحْشَدَ	4	ل
تَحَشَّدَ	5	ل
تَحاشَدَ	5	ل
اِحْتَشَدَ	5	ل
حَشَرَ	3	م
حَشِرَ	3	ل
حَشَّرَ	4	م
تَحَشَّرَ	5	ل
اِنْحَشَرَ	5	ل
اِحْتَشَرَ	5	ل
حَشَّ	3	ل
حَشَّ	3	م
أَحَشَّ	4	ل/م
اِحْتَشَّ	5	م/ل
اِسْتَحَشَّ	6	ل
حَشَفَ	3	ل
حَشَّفَ	4	م
أَحْشَفَ	4	ل
تَحَشَّفَ	5	ل
اِسْتَحْشَفَ	6	ل
حَشَكَ	3	ل/م
حَشِكَ	3	ل
أَحْشَكَ	4	م
حَشَمَ	3	ل/م
حَشِمَ	3	ل
حَشَّمَ	4	م
أَحْشَمَ	4	م
تَحَشَّمَ	5	ل/م
اِحْتَشَمَ	5	ل
حَشِنَ	3	ل
حاشَنَ	4	م
أَحْشَنَ	4	ل
تَحَشَّنَ	5	ل
حَشا	3	م
حَشِيَ	3	ل
حَشَّى	4	م
أَحْشَى	4	م
تَحَشَّى	5	ل/م
تَحاشَى	5	ل
اِحْتَشَى	5	ل/م
حَصَأَ	3	ل
أَحْصَأَ	4	م
حَصَبَ	3	م
حَصِبَ	3	ل
حَصَّبَ	4	ل/م
أَحْصَبَ	4	ل/م
تَحَصَّبَ	5	ل
تَحاصَبَ	5	ل
حَصَدَ	3	م
حَصِدَ	3	ل
أَحْصَدَ	4	ل/م
تَحَصَّدَ	5	ل
اِحْتَصَدَ	5	م
اِسْتَحْصَدَ	6	ل
حَصَرَ	3	ل/م
حَصِرَ	3	ل
حاصَرَ	4	م
أَحْصَرَ	4	م
اِحْتَصَرَ	5	م
حَصَّ	3	ل/م
حَصَّ	3	ل
حَصَّصَ	4	ل/م
حاصَّ	4	م
أَحَصَّ	4	م
تَحَصَّصَ	5	ل
تَحاصَّ	5	م
اِنْحَصَّ	5	ل
حَصُفَ	3	ل
حَصِفَ	3	ل
أَحْصَفَ	4	ل/م
اِسْتَحْصَفَ	6	ل
حَصَلَ	3	ل
حَصَّلَ	4	ل/م
أَحْصَلَ	4	ل
تَحَصَّلَ	5	ل
حَصَمَ	3	م
اِنْحَصَمَ	5	ل
حَصُنَ	3	ل
حَصَّنَ	4	م
أَحْصَنَ	4	ل/م
تَحَصَّنَ	5	ل
حَصا	3	م
حَصَى	3	م
حَصِيَ	3	ل
حَصَّى	4	م
أَحْصَى	4	م
تَحَصَّى	5	ل
حَضَأَ	3	ل/م
اِحْتَضَأَ	5	م
حَضَبَ	3	م
أَحْضَبَ	4	ل/م
تَحَضَّبَ	5	ل
حَضَجَ	3	ل/م
حَضَّجَ	4	ل/م
اِنْحَضَجَ	5	ل
حَضَرَ	3	ل/م
حَضَّرَ	4	م
حاضَرَ	4	م
أَحْضَرَ	4	ل/م
تَحَضَّرَ	5	ل
اِحْتَضَرَ	5	م
اِسْتَحْضَرَ	6	م
حَضَّ	3	م
حَضَّضَ	4	م
حاضَّ	4	م
تَحاضَّ	5	ل
حَضَنَ	3	م
أَحْضَنَ	4	م
اِحْتَضَنَ	5	م
حَضا	3	م
حَطَأَ	3	م/ل
حَطَبَ	3	ل/م
حَطِبَ	3	ل
أَحْطَبَ	4	ل
اِحْتَطَبَ	5	م
اِسْتَحْطَبَ	6	ل
حَطَرَ	3	م
حَطَّ	3	ل/م
أَحَطَّ	4	ل
اِنْحَطَّ	5	ل
اِحْتَطَّ	5	م
اِسْتَحَطَّ	6	م
حَطَمَ	3	م
حَطِمَ	3	ل
حَطَّمَ	4	م
أَحْطَمَ	4	ل
تَحَطَّمَ	5	ل
اِنْحَطَمَ	5	ل
حَطا	3	م
اِحْطَوْطَى	6	ل
حَظِبَ	3	ل
حَظَرَ	3	ل/م
حَظَّرَ	4	ل
أَحْظَرَ	4	ل
اِحْتَظَرَ	5	ل
حَظَّ	3	ل
أَحَظَّ	4	ل
حَظَلَ	3	م/ل
حَظِلَ	3	ل
أَحْظَلَ	4	ل
حَظا	3	ل
حَظِيَ	3	ل
أَحْظَى	4	م
اِحْتَظَى	5	ل
حَفَأَ	3	م
اِحْتَفَأَ	5	م
حَفَدَ	3	ل/م
أَحْفَدَ	4	ل/م
اِحْتَفَدَ	5	ل/م
حَفَرَ	3	ل/م
حافَرَ	4	ل
أَحْفَرَ	4	ل/م
تَحَفَّرَ	5	ل
اِسْتَحْفَرَ	6	ل
حَفَزَ	3	م
حافَزَ	4	م
تَحَفَّزَ	5	ل
اِحْتَفَزَ	5	ل
حَفَشَ	3	ل/م
حَفَصَ	3	م
حَفَضَ	3	م
حَفَّضَ	4	م
حَفِظَ	3	م
حَفَّظَ	4	م
حافَظَ	4	ل
أَحْفَظَ	4	م
تَحَفَّظَ	5	ل/م
اِحْتَفَظَ	5	ل/م
اِسْتَحْفَظَ	6	م
حَفَّ	3	ل
حَفَّ	3	م/ل
حَفَّفَ	4	ل/م
أَحَفَّ	4	م
اِحْتَفَّ	5	م
اِسْتَحَفَّ	6	م
حَفَلَ	3	ل
حَفَلَ	3	م/ل
حَفَّلَ	4	م
تَحَفَّلَ	5	ل
اِحْتَفَلَ	5	ل
حَفَنَ	3	م/ل
حَفِنَ	3	ل
اِحْتَفَنَ	5	ل/م
حَفا	3	م/ل
حَفِيَ	3	ل
حافَى	4	م
أَحْفَى	4	ل/م
تَحَفَّى	5	ل
اِحْتَفَى	5	ل/م
اِسْتَحْفَى	6	ل
حَقَبَ	3	م
حَقِبَ	3	ل
أَحْقَبَ	4	م
اِحْتَقَبَ	5	م
اِسْتَحْقَبَ	6	م
حَقَدَ	3	ل
حَقِدَ	3	ل
أَحْقَدَ	4	ل/م
تَحَقَّدَ	5	ل
تَحاقَدَ	5	ل
اِحْتَقَدَ	5	ل
حَقَرَ	3	م
حَقُرَ	3	ل
حَقَّرَ	4	م
أَحْقَرَ	4	م
تَحاقَرَ	5	ل
اِحْتَقَرَ	5	م
اِسْتَحْقَرَ	6	م
حَقِطَ	3	ل
حَقَفَ	3	ل
اِحْقَوْقَفَ	6	ل
حَقَّ	3	ل
حَقَّ	3	م
حَقَّقَ	4	م/ل
حاقَّ	4	م
أَحَقَّ	4	ل/م
تَحَقَّقَ	5	ل/م
اِنْحَقَّ	5	ل
اِحْتَقَّ	5	ل/م
اِسْتَحَقَّ	6	م
حَقَلَ	3	ل
حَقِلَ	3	ل
حاقَلَ	4	م
أَحْقَلَ	4	ل
اِحْتَقَلَ	5	ل
حَقَنَ	3	م
اِحْتَقَنَ	5	ل
حَقا	3	م
حَقِيَ	3	ل
تَحَقَّى	5	ل
حَكَأَ	3	م
أَحْكَأَ	4	م
اِحْتَكَأَ	5	ل/م
حَكَرَ	3	م
حَكِرَ	3	ل/م
حاكَرَ	4	م
تَحَكَّرَ	5	ل/م
اِحْتَكَرَ	5	م
حَكَشَ	3	ل/م
حَكِشَ	3	ل
حَكَّ	3	م/ل
حَكَّكَ	4	م
حاكَّ	4	م
أَحَكَّ	4	م/ل
تَحَكَّكَ	5	ل
تَحاكَّ	5	ل
اِحْتَكَّ	5	ل
اِسْتَحَكَّ	6	م
حَكَلَ	3	ل/م
أَحْكَلَ	4	ل
تَحَكَّلَ	5	ل
اِحْتَكَلَ	5	ل
حَكَمَ	3	ل/م
حَكُمَ	3	ل
حَكَّمَ	4	م
حاكَمَ	4	م
أَحْكَمَ	4	م
تَحَكَّمَ	5	ل
تَحاكَمَ	5	ل
اِحْتَكَمَ	5	ل
اِسْتَحْكَمَ	6	ل
حَكَى	3	م
حاكَى	4	م
حَلَأَ	3	م
حَلِئَ	3	ل
حَلَّأَ	4	م
أَحْلَأَ	4	م
حَلَبَ	3	ل/م
حَلَبَ	3	م
حالَبَ	4	م
أَحْلَبَ	4	ل/م
تَحَلَّبَ	5	م
اِحْتَلَبَ	5	ل
اِسْتَحْلَبَ	6	ل/م
حَلَتَ	3	ل/م
حَلَجَ	3	ل/م
حَلَزَ	3	م
حَلِزَ	3	ل
تَحَلَّزَ	5	ل
اِحْتَلَزَ	5	م
حَلَسَ	3	ل/م
حَلِسَ	3	ل
حالَسَ	4	م
أَحْلَسَ	4	ل/م
تَحَلَّسَ	5	ل
اِسْتَحْلَسَ	6	ل/م
حَلَطَ	3	ل
أَحْلَطَ	4	ل/م
اِحْتَلَطَ	5	ل
حَلَفَ	3	ل
حَلُفَ	3	ل
حَلَّفَ	4	م
حالَفَ	4	م
أَحْلَفَ	4	ل/م
تَحالَفَ	5	ل
اِسْتَحْلَفَ	6	م
حَلَقَ	3	ل/م
حَلَقَ	3	م
حَلَّقَ	4	ل/م
أَحْلَقَ	4	م
تَحَلَّقَ	5	ل
اِحْتَلَقَ	5	ل/م
حَلَكَ	3	ل
حَلِكَ	3	ل
اِسْتَحْلَكَ	6	ل
اِحْلَوْلَكَ	6	ل
حَلَّ	3	ل/م
حَلَّ	3	ل
حَلَّلَ	4	م
حالَّ	4	م
أَحَلَّ	4	ل/م
تَحَلَّلَ	5	ل
اِنْحَلَّ	5	ل
اِحْتَلَّ	5	م/ل
اِسْتَحَلَّ	6	م
حَلَمَ	3	ل/م
حَلُمَ	3	ل
حَلِمَ	3	ل
حَلَّمَ	4	م
أَحْلَمَ	4	ل
تَحَلَّمَ	5	ل
تَحالَمَ	5	ل
اِحْتَلَمَ	5	ل/م
حَلا	3	م/ل
حَلِيَ	3	ل/م
حَلَّى	4	م
حالَى	4	م
أَحْلَى	4	م
تَحَلَّى	5	ل/م
تَحالَى	5	ل
اِسْتَحْلَى	6	م
اِحْلَوْلَى	6	ل/م
حَلَى	3	م
حَلِيَ	3	ل
حَلَّى	4	م
تَحَلَّى	5	ل
حَمَأَ	3	م
حَمِئَ	3	ل
أَحْمَأَ	4	م
حَمَتَ	3	م
حَمُتَ	3	ل
حَمِتَ	3	ل
تَحَمَّتَ	5	ل
حَمِدَ	3	م
حَمَّدَ	4	م
أَحْمَدَ	4	ل/م
تَحَمَّدَ	5	ل/م
تَحامَدَ	5	ل/م
اِسْتَحْمَدَ	6	ل
حَمَرَ	3	م
حَمِرَ	3	ل
حَمَّرَ	4	ل/م
أَحْمَرَ	4	ل/م
اِحْمَرَّ	5	ل
اِحْمارَّ	6	ل
حَمَزَ	3	ل/م
حَمُزَ	3	ل
حَمَسَ	3	م
حَمُسَ	3	ل
حَمِسَ	3	ل
حَمَّسَ	4	م
أَحْمَسَ	4	م
تَحَمَّسَ	5	ل
تَحامَسَ	5	ل
اِحْتَمَسَ	5	ل
حَمَشَ	3	م
حَمُشَ	3	ل
حَمِشَ	3	ل
حَمَّشَ	4	م
أَحْمَشَ	4	م
تَحَمَّشَ	5	ل
اِسْتَحْمَشَ	6	ل
حَمَصَ	3	ل/م
حَمَّصَ	4	ل/م
تَحَمَّصَ	5	ل
اِنْحَمَصَ	5	ل
حَمَضَ	3	ل
حَمُضَ	3	ل
حَمَّضَ	4	ل/م
أَحْمَضَ	4	ل/م
تَحَمَّضَ	5	ل
اِسْتَحْمَضَ	6	ل
حَمَّطَ	4	م
حَمُقَ	3	ل
حَمِقَ	3	ل
حَمَّقَ	4	م
حامَقَ	4	م
أَحْمَقَ	4	ل/م
تَحَمَّقَ	5	ل
تَحامَقَ	5	ل
اِنْحَمَقَ	5	ل
اِسْتَحْمَقَ	6	ل/م
حَمَكَ	3	ل
حَمَلَ	3	ل/م
حَمَّلَ	4	ل
أَحْمَلَ	4	ل/م
تَحَمَّلَ	5	ل/م
تَحامَلَ	5	ل/م
اِحْتَمَلَ	5	ل/م
اِسْتَحْمَلَ	6	ل/م
حَمَّ	3	م
حَمَّ	3	ل
حَمَّمَ	4	ل/م
حامَّ	4	م
أَحَمَّ	4	ل/م
تَحَمَّمَ	5	ل
اِحْتَمَّ	5	ل
اِسْتَحَمَّ	6	ل
حَما	3	ل/م
حَمَى	3	م
حَمِيَ	3	ل
حامَى	4	ل
أَحْمَى	4	م
تَحامَى	5	م
اِحْتَمَى	5	ل
حَنَأَ	3	ل
حَنَّأَ	4	م
تَحَنَّأَ	5	ل
حَنِبَ	3	ل
حَنَّبَ	4	ل/م
تَحَنَّبَ	5	ل
حَنِثَ	3	ل
حَنَّثَ	4	ل/م
أَحْنَثَ	4	م
تَحَنَّثَ	5	ل
حَنَجَ	3	ل/م
أَحْنَجَ	4	ل/م
اِحْتَنَجَ	5	ل
حَنَذَ	3	ل/م
أَحْنَذَ	4	ل
اِسْتَحْنَذَ	6	ل
حَنَرَ	3	م
حَنِسَ	3	ل
حَنَشَ	3	م
أَحْنَشَ	4	م
حَنَطَ	3	ل
حَنِطَ	3	ل
حَنَّطَ	4	م
أَحْنَطَ	4	ل/م
تَحَنَّطَ	5	ل
اِسْتَحْنَطَ	6	ل
حَنَفَ	3	ل
حَنِفَ	3	ل
حَنَّفَ	4	م
تَحَنَّفَ	5	ل
حَنِقَ	3	ل
أَحْنَقَ	4	ل/م
حَنَكَ	3	م
حَنَّكَ	4	م
أَحْنَكَ	4	م
اِحْتَنَكَ	5	م
اِسْتَحْنَكَ	6	ل
حَنَّ	3	ل
حَنَّنَ	4	ل
أَحَنَّ	4	م
تَحَنَّنَ	5	ل
تَحانَّ	5	ل
اِسْتَحَنَّ	6	ل/م
حَنا	3	ل/م
حَنَى	3	م
أَحْنَى	4	ل
تَحَنَّى	5	ل
اِنْحَنَى	5	ل
حابَ	3	ل
حَوَّبَ	4	ل
أَحْوَبَ	4	ل
تَحَوَّبَ	5	ل
حاتَ	3	ل
حاوَتَ	4	م
أَحاثَ	4	م
اِسْتَحاثَ	6	م
حاجَ	3	ل
حَوَّجَ	4	ل
أَحْوَجَ	4	ل/م
تَحَوَّجَ	5	ل
اِحْتاجَ	5	ل
حادَ	3	ل
حاوَدَ	4	ل
حاذَ	3	ل/م
أَحْوَذَ	4	ل/م
اِسْتَحْوَذَ	6	ل
حارَ	3	ل/م
حَوِرَ	3	ل
حَوَّرَ	4	م
حاوَرَ	4	م
أَحارَ	4	ل/م
تَحاوَرَ	5	ل
اِحْوَرَّ	5	ل
اِسْتَحارَ	6	م
حازَ	3	ل/م
حَوَّزَ	4	م
تَحَوَّزَ	5	ل
تَحاوَزَ	5	ل
اِنْحازَ	5	ل
اِحْتازَ	5	م
اِسْتَحازَ	6	م
حاسَ	3	ل/م
حَوِسَ	3	ل
حاوَسَ	4	م
تَحَوَّسَ	5	ل
اِسْتَحْوَسَ	6	ل
حاشَ	3	م
حَوَّشَ	4	م
حاوَشَ	4	م
أَحاشَ	4	م
أَحْوَشَ	4	م
تَحَوَّشَ	5	ل/م
تَحاوَشَ	5	م
اِنْحاشَ	5	ل
اِحْتَوَشَ	5	م/ل
حاصَ	3	م/ل
حَوِصَ	3	ل
حاوَصَ	4	م
اِحْتاصَ	5	ل
حاضَ	3	م
حَوَّضَ	4	ل/م
اِحْتاضَ	5	ل
اِسْتَحْوَضَ	6	ل
حاطَ	3	ل/م
حَوَّطَ	4	م/ل
حاوَطَ	4	م
أَحاطَ	4	م/ل
تَحَوَّطَ	5	م
اِحْتاطَ	5	ل
اِسْتَحاطَ	6	ل
حافَ	3	م
حَوَّفَ	4	م
تَحَوَّفَ	5	ل/م
حاقَ	3	م
حَوَّقَ	4	ل/م
اِحْتاقَ	5	م
حاكَ	3	ل/م
أَحاكَ	4	ل/م
تَحَوَّكَ	5	ل
حالَ	3	ل
حَوِلَ	3	ل
حَوَّلَ	4	م
حاوَلَ	4	م
أَحالَ	4	ل/م
أَحْوَلَ	4	ل/م
تَحَوَّلَ	5	ل/م
اِحْتالَ	5	ل
اِحْتَوَلَ	5	م
اِسْتَحالَ	6	ل
حامَ	3	ل/م
حَوَّمَ	4	ل
تَحَوَّنَ	5	ل
حَوَى	3	م
حَوِيَ	3	ل
حَوَّى	4	ل/م
تَحَوَّى	5	ل
اِحْتَوَى	5	م/ل
حاجَ	3	ل
أَحاجَ	4	ل
حادَ	3	ل
حايَدَ	4	م
أَحادَ	4	م
حارَ	3	ل
حَيَّرَ	4	م
تَحَيَّرَ	5	ل
اِسْتَحارَ	6	ل/م
حازَ	3	ل
تَحَيَّزَ	5	ل
حاسَ	3	م
حَيَّسَ	4	م
حاشَ	3	ل/م
حاشَ	3	ل/م
تَحَيَّشَ	5	ل
حاصَ	3	ل
حايَصَ	4	م
تَحايَصَ	5	ل
اِنْحاصَ	5	ل
حاضَ	3	ل
حَيَّضَ	4	م
تَحَيَّضَ	5	ل
اِسْتُحِيْضَ	6	-
حافَ	3	ل
حَيِفَ	3	ل
تَحَيَّفَ	5	م
حاقَ	3	ل/م
حايَقَ	4	م
أَحاقَ	4	ل/م
اِحْتاقَ	5	ل
حاكَ	3	ل/م
أَحاكَ	4	ل
تَحَيَّكَ	5	ل
تَحايَكَ	5	ل
اِحْتاكَ	5	ل
حالَ	3	ل
تَحَيَّلَ	5	ل
تَحايَلَ	5	ل
حانَ	3	ل
حَيَّنَ	4	م
حايَنَ	4	م
أَحْيَنَ	4	ل
أَحانَ	4	ل/م
تَحَيَّنَ	5	م
حَيَّ	3	ل
حَيِيَ	3	ل
حَيّا	4	م
حايا	4	ل/م
أَحْيا	4	ل/م
تَحَيّا	5	ل
تَحايا	5	ل
اِسْتَحْيا	6	م/ل
خَبَأَ	3	م
خَبَّأَ	4	م
خابَأَ	4	م
أَخْبَأَ	4	م
تَخَبَأَ	4	ل
اِخْتَبَأَ	5	ل/م
خَبَّ	3	ل
خَبَّ	3	ل
خَبَّبَ	4	م
أَخَبَّ	4	م
اِخْتَبَّ	5	م/ل
خَبَتَ	3	ل
أَخْبَتَ	4	ل
خَبُثَ	3	ل
أَخْبَثَ	4	ل/م
تَخابَثَ	5	ل
اِسْتَخْبَثَ	6	م
خَبَرَ	3	ل/م
خَبُرَ	3	ل/م
خَبِرَ	3	ل/م
خَبَّرَ	4	م
خابَرَ	4	م
أَخْبَرَ	4	م
تَخَبَّرَ	5	م
اِخْتَبَرَ	5	م
اِسْتَخْبَرَ	6	م
خَبَزَ	3	م
خَبِزَ	3	ل
تَخَبَّزَ	5	م
اِنْخَبَزَ	5	ل
اِخْتَبَزَ	5	م
خَبَسَ	3	م
تَخَبَّسَ	5	م
اِخْتَبَسَ	5	م
خَبَشَ	3	م
تَخَبَّشَ	5	م
خَبَصَ	3	م
خَبَّصَ	4	م
تَخَبَّصَ	5	ل
اِخْتَبَصَ	5	ل
خَبَطَ	3	ل/م
تَخَبَّطَ	5	ل/م
اِخْتَبَطَ	5	ل/م
خَبَعَ	3	ل/م
خَبَقَ	3	م
تَخَبَّقَ	5	ل
خَبَلَ	3	ل/م
خَبِلَ	3	ل
خَبَّلَ	4	م
أَخْبَلَ	4	م
تَخَبَّلَ	5	ل
اِخْتَبَلَ	5	ل/م
اِسْتَخْبَلَ	6	م
خَبَنَ	3	م
أَخْبَنَ	4	ل
خَبا	3	ل
خَبَّى	4	م
أَخْبَى	4	ل/م
تَخَبَّى	5	ل/م
اِسْتَخْبَى	6	م
خَتَأَ	3	م
اِخْتَتَأَ	5	ل/م
خَتَّ	3	ل
خَتَّ	3	م
خَتَّ	3	ل
أَخَتَّ	4	ل/م
خَتَرَ	3	ل/م
خَتِرَ	3	ل
خَتَّرَ	4	م
تَخَتَّرَ	5	ل
خَتَعَ	3	ل
اِنْخَتَعَ	5	ل
خَتَلَ	3	م
خاتَلَ	4	م
تَخاتَلَ	5	ل
اِخْتَتَلَ	5	ل
خَتَمَ	3	ل/م
خَتَّمَ	4	م
تَخَتَّمَ	5	ل
اِخْتَتَمَ	5	م
خَتَنَ	3	ل/م
خاَتَنَ	4	م
اِخْتَتَنَ	5	ل/م
خَتا	3	ل/م
أَخْتَى	4	ل
اِخْتَتَى	5	ل/م
خَثَّثَ	4	م
خَثَرَ	3	ل
خَثُرَ	3	ل
خَثَّرَ	4	م
أَخْثَرَ	4	ل/م
خَثِمَ	3	ل
خَثَّمَ	4	م
خَثَى	3	ل
أَخْثَى	4	ل
خَجَأَ	3	ل/م
خَجِئَ	3	ل
أَخْجَأَ	4	م
تَخاجَأَ	5	ل
خَجَّ	3	ل/م
اِخْتَجَّ	5	ل
خَجِلَ	3	ل
خَجَّلَ	4	م
أَخْجَلَ	4	ل/م
اِخْتَجَلَ	5	م
خَدَبَ	3	ل/م
خَدِبَ	3	ل
تَخَدَّبَ	5	ل
خَدَجَ	3	ل
خَدَّجَ	4	ل
أَخْدَجَ	4	ل/م
خَدَّ	3	م/ل
خَدَّدَ	4	ل/م
خادَّ	4	م
تَخَدَّدَ	5	ل
تَخادَّ	5	ل
خَدَرَ	3	ل/م
خَدِرَ	3	ل
خَدَّرَ	4	م
أَخْدَرَ	4	ل/م
