#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
آرَنَ	م	109
أرا	م	62
أَرَى	ل/م	65
أَرِيَ	ل	67
أَرَّى	م/ل	113
آرَى	م	106
تَأَرَّى	ل/م	127
اِئْتَرَى	ل	116
أَزَبَ	ل	54
أَزِبَ	ل	56
تَأَزَّبَ	م	126
أَزَجَ	ل	54
أَزِجَ	ل	56
أَزَّجَ	م	112
أَزَحَ	ل	54
تَأَزَّحَ	ل	126
أَزَرَ	ل/م	53
أَزِرَ	ل	56
أَزَّرَ	م	112
آزَرَ	ل/م	109
تَأَزَّرَ	ل	126
اِئْتَزَرَ	ل	114
اِتَّزَرَ	ل	118
أَزَّ	ل	59
أَزَّ	ل/م	58
تَأَزَّزَ	ل	126
اِئْتَزَّ	ل	114
أَزِفَ	ل	56
آزَفَ	م	106
تَآزَفَ	ل	123
أَزَقَ	ل/م	54
تَأَزَّقَ	ل	126
أَزَلَ	ل/م	54
آزَلَ	ل	106
تَأَزَّلَ	ل	126
أَزَمَ	ل/م	54
أَزِمَ	ل	56
تَأَزَّمَ	ل	126
أَزا	ل	62
أَزَى	ل	65
أَزِيَ	ل	67
أَزَّى	م	113
آزَى	ل	106
آزَى	ل	111
تَأَزَّى	ل	127
تَآزَى	ل	125
أَسِدَ	ل	56
أَسَّدَ	م	112
آسَدَ	م/ل	106
آسَدَ	ل	109
تَأَسَّدَ	ل	126
اِسْتَأْسَدَ	ل	129
أَسَرَ	م	54
أَسِرَ	ل	56
اِسْتَأْسَرَ	م/ل	129
أَسَّ	ل/م	58
أَسَّسَ	م	112
أَسِفَ	ل	56
آسَفَ	م	106
تَأَسَّفَ	ل	126
أَسُلَ	ل	57
أَسَّلَ	م	112
تَأَسَّلَ	م	126
أَسَنَ	ل	53
أَسِنَ	ل	56
آسَنَ	م	106
تَأَسَّنَ	ل	126
أَسا	ل/م	62
أَسَى	م	65
أَسِيَ	ل	67
أَسَّى	ل/م	113
آسَى	م	106
آسَى	ل/م	111
تَأَسَّى	ل	127
تَآسَى	ل	125
اِئْتَسَى	ل	116
أَشَبَ	م	54
أَشِبَ	ل	56
