#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
خَصَمَ	م	2
خَصِمَ	ل	4
خاصَمَ	م	109
أَخْصَمَ	م	102
تَخاصَمَ	ل	123
اِخْتَصَمَ	ل	114
خَصَى	م	21
اِخْتَصَى	م	116
خَضَبَ	ل/م	2
خَضِبَ	ل	5
خَضَّبَ	م	112
أَخْضَبَ	ل	102
تَخَضَّبَ	ل	126
اِخْتَضَبَ	ل	114
اِخْضَوْضَبَ	ل	133
خَضَدَ	ل/م	2
خَضِدَ	ل	4
خَضَّدَ	م	112
أَخْضَدَ	ل	102
تَخَضَّدَ	ل	126
اِنْخَضَدَ	ل	119
اِخْتَضَدَ	ل/م	114
خَضَرَ	م	1
خَضِرَ	ل	4
خَضَّرَ	م	112
خاضَرَ	م	109
أَخْضَرَ	م	102
اِخْتَضَرَ	م	114
اِخْضَرَّ	ل	128
اِخْضَوْضَرَ	ل	133
اِخْضارَّ	ل	135
خَضَّضَ	م	112
خاضَّ	م	110
خَضَعَ	ل/م	3
خَضِعَ	ل	4
خَضَّعَ	م	112
خاضَعَ	م	109
أَخْضَعَ	ل/م	102
تَخَضَّعَ	ل	126
اِخْتَضَعَ	ل	114
خَضَفَ	م	2
خَضِلَ	ل	4
خَضَّلَ	م	112
أَخْضَلَ	ل/م	102
اِخْضَلَّ	ل	128
اِخْضَوْضَلَ	ل	133
اِخْضالَّ	ل	135
خَضَمَ	م/ل	2
خَضِمَ	م	4
خَضَّمَ	م	112
أَخْضَمَ	ل/م	102
اِخْتَضَمَ	م	114
خَضَنَ	م	1
خاضَنَ	ل/م	109
خَطِئَ	ل/م	15
خَطَّأَ	م	112
أَخْطَأَ	ل/م	102
تَخَطَّأَ	م/ل	126
تَخاطأَ	ل/م	123
خَطَبَ	م/ل	1
خَطُبَ	ل	7
خَطِبَ	ل	4
خَطَّبَ	م	112
خاطَبَ	م	109
أَخْطَبَ	ل/م	102
تَخاطَبَ	ل	123
اِخْتَطَبَ	م	114
خَطَرَ	ل	2
خَطُرَ	ل	7
خَطَّرَ	ل/م	112
خاطَرَ	ل/م	109
أَخْطَرَ	ل/م	102
تَخاطَرَ	ل	123
خَطَّ	ل/م	8
خَطَّطَ	م	112
اِخْتَطَّ	ل/م	115
خَطَفَ	ل/م	2
خَطِفَ	ل/م	4
أَخْطَفَ	ل/م	102
تَخَطَّفَ	م	126
اِخْتَطَفَ	م	114
خَطِلَ	ل	4
أَخْطَلَ	ل	102
تَخَطَّلَ	ل	126
خَطَمَ	م	2
خَطَّمَ	م	112
خَطا	ل	17
خَطَّى	م	113
أَخْطَى	م	104
تَخَطَّى	م/ل	127
اِخْتَطَى	ل/م	116
أَخَظَّ	ل	103
خَظا	ل	17
خَظَّى	م	113
أَخْظَى	ل/م	104
خَفَتَ	ل	1
خافَتَ	ل	109
تَخافَتَ	ل	123
خَفِجَ	ل	4
تَخَفَّجَ	ل	126
خَفَدَ	ل	1
أَخْفَدَ	ل	102
خَفَرَ	م/ل	2
خَفِرَ	ل	4
خَفَّرَ	م	112
أَخْفَرَ	م	102
تَخَفَّرَ	ل	126
اِسْتَخْفَرَ	م/ل	129
خَفَسَ	ل/م	2
أَخْفَسَ	ل/م	102
تَخَفَّسَ	ل	126
اِنْخَفَسَ	ل	119
خَفَشَ	م/ل	1
خَفِشَ	ل	4
خَفَّشَ	ل/م	112
خَفَضَ	ل/م	2
خَفُضَ	ل	7
خَفَّضَ	م	112
تَخَفَّضَ	ل	126
اِنْخَفَضَ	ل	119
اِخْتَفَضَ	ل	114
خَفَعَ	ل	3
خَفِعَ	ل	4
أَخْفَعَ	م	102
اِنْخَفَعَ	ل	119
خَفَّ	ل	9
خَفَّفَ	م/ل	112
أَخَفَّ	ل/م	103
تَخَفَّفَ	ل/م	126
تَخافَّ	ل	124
اِسْتَخَفَّ	م/ل	130
خَفَقَ	ل/م	1
خَفَّقَ	م	112
أَخْفَقَ	ل/م	102
اِخْتَفَقَ	ل	114
خَفا	ل	17
خَفِيَ	ل	19
خَفَى	ل/م	21
خَفِيَ	ل	23
أَخْفَى	م	104
تَخَفَّى	ل	127
اِخْتَفَى	ل/م	116
اِسْتَخْفَى	ل	131
خَقَّ	ل	9
أَخَقَّ	ل	103
خَقَّنَ	م	112
خَلَأَ	ل	14
خالَأَ	ل/م	109
خَلَبَ	م	1
خَلِبَ	ل	4
خَلَّبَ	م	112
خالَبَ	م	109
أَخْلَبَ	ل	102
اِخْتَلَبَ	م	114
اِسْتَخْلَبَ	م	129
خَلَجَ	م/ل	2
خَلِجَ	ل	4
خالَجَ	م	109
أَخْلَجَ	ل/م	102
تَخَلَّجَ	ل/م	126
تَخالَجَ	م	123
اِخْتَلَجَ	ل/م	114
خَلَدَ	ل	1
خَلَّدَ	م	112
أَخْلَدَ	ل/م	102
خَلَسَ	م	2
خَلِسَ	ل	4
خالَسَ	م	109
أَخْلَسَ	ل	102
تَخَلَّسَ	م	126
تَخالَسَ	م	123
اِخْتَلَسَ	م	114
خَلَصَ	ل	1
خَلِصَ	ل	4
خَلَّصَ	م	112
خالَصَ	م	109
أَخْلَصَ	ل/م	102
تَخَلَّصَ	ل	126
تَخالَصَ	ل	123
اِسْتَخْلَصَ	م	129
خَلَطَ	م	2
خَلَّطَ	ل/م	112
خالَطَ	م	109
تَخالَطَ	ل	123
اِخْتَلَطَ	ل	114
خَلَعَ	ل/م	3
خَلُعَ	ل	7
خَلَّعَ	م	112
خالَعَ	م	109
تَخَلَّعَ	ل	126
تَخالَعَ	ل	123
اِنْخَلَعَ	ل	119
اِخْتَلَعَ	م/ل	114
خَلَفَ	م/ل	13
خَلِفَ	ل	4
خَلَّفَ	ل/م	112
خالَفَ	ل/م	109
أَخْلَفَ	ل/م	102
تَخَلَّفَ	ل/م	126
تَخالَفَ	ل	123
اِخْتَلَفَ	ل/م	114
اِسْتَخْلَفَ	م	129
خَلَقَ	ل/م	1
خَلُقَ	ل	7
خَلِقَ	ل	4
خَلَّقَ	م	112
خالَقَ	م	109
أَخْلَقَ	ل/م	102
تَخَلَّقَ	ل/م	126
اِخْتَلَقَ	م	114
اِخْلَوْلَقَ	ل	133
خَلَّ	ل/م	8
خَلَّ	ل	9
خَلَّلَ	ل/م	112
خالَّ	م	110
أَخَلَّ	ل/م	103
تَخَلَّلَ	ل/م	126
اِخْتَلَّ	ل/م	115
خالَمَ	م	109
خَلَّمَ	م	112
اِخْتَلَمَ	م	114
خَلا	ل	17
خَلَّى	م	113
خالَى	ل/م	111
أَخْلَى	ل/م	104
تَخَلَّى	ل/م	127
تَخالَى	ل	125
اِسْتَخْلَى	ل/م	131
اِخْلَوْلَى	ل	134
خَلَى	م	21
أَخْلَى	ل/م	104
اِخْتَلَى	ل/م	116
خَمِجَ	ل/م	4
خَمَدَ	ل	1
خَمِدَ	ل	4
أَخْمَدَ	ل/م	102
خَمَرَ	ل/م	1
خَمِرَ	ل	4
خَمَّرَ	ل/م	112
خامَرَ	ل/م	109
أَخْمَرَ	ل/م	102
تَخَمَّرَ	ل	126
اِخْتَمَرَ	ل	114
اِسْتَخْمَرَ	م	129
خَمَسَ	م	1
خَمَّسَ	م	112
أَخْمَسَ	ل	102
خَمَشَ	م	1
خَمَّشَ	م	112
تَخَمَّشَ	ل	126
خَمَصَ	ل/م	1
خَمُصَ	ل	7
خَمِصَ	ل	4
تَخامَصَ	ل	123
اِنْخَمَصَ	ل	119
خَمَطَ	ل/م	1
خَمِطَ	ل	4
تَخَمَّطَ	ل	126
خَمَلَ	ل/م	1
أَخْمَلَ	ل/م	102
اِخْتَمَلَ	ل	114
خَمَّ	ل/م	8
خَمَّ	ل	9
أَخَمَّ	ل	103
تَخَمَّمَ	ل	126
اِخْتَمَّ	م	115
خَمَنَ	م	1
خَمَّنَ	م	112
خَنِبَ	ل	4
أَخْنَبَ	ل/م	102
تَخَنَّبَ	ل	126
اِخْتَنَبَ	ل	114
خَنَثَ	م/ل	2
خَنِثَ	ل	4
خَنَّثَ	م	112
تَخَنَّثَ	ل	126
اِنْخَنَثَ	ل	119
اِخْتَنَثَ	م	114
خَنِزَ	ل	4
خَنَسَ	ل/م	2
خَنِسَ	ل	4
خَنَّسَ	م	112
أَخْنَسَ	م	102
تَخَنَّسَ	ل	126
اِنْخَنَسَ	ل	119
اِخْتَنَسَ	ل	114
خَنَعَ	ل/م	3
خَنَّعَ	م	112
أَخْنَعَ	م	102
خَنَفَ	ل/م	2
خَنِفَ	ل	4
خَنَقَ	م	1
خَنَّقَ	م	112
اِنْخَنَقَ	ل	119
اِخْتَنَقَ	ل	114
خَنَّ	ل	9
خَنَّ	م	8
خَنَّ	ل	10
أَخَنَّ	م	103
اِسْتَخَنَّ	ل	130
خَنا	ل	17
خَنَى	م	21
خَنِيَ	ل	23
أَخْنَى	ل	104
خابَ	ل	34
خاتَ	ل/م	34
خَوَّتَ	ل	112
خاوَتَ	م	109
تَخَوَّتَ	م	126
اِنْخاتَ	ل	122
اِخْتاتَ	م/ل	117
خَوِثَ	ل	35
أَخاجَ	ل	105
خَوَّدَ	ل/م	112
تَخَوَّدَ	ل	126
خاوَذَ	ل/م	109
تَخَوَّذَ	م	126
تَخاوَذَ	م	123
خارَ	ل/م	34
خَوِرَ	ل	35
خَوَّرَ	ل/م	112
تَخاوَرَ	ل	123
اِسْتَخارَ	م	132
خازَ	م	34
خاشَ	ل/م	34
خَوَّشَ	م	112
خاوَشَ	م	109
تَخَوَّشَ	ل/م	126
خاصَ	م	34
خَوِصَ	ل	35
خَوَّصَ	ل/م	112
خاوصَ	ل/م	109
أَخْوَصَ	ل	102
أَخاصَ	ل	105
تَخَوَّصَ	ل/م	126
تَخاوَصَ	ل/م	123
اِخْواصَّ	ل	135
خاضَ	ل/م	34
خَوَّض	م/ل	112
خاوضَ	م	109
أَخاضَ	ل/م	105
تَخَوَّضَ	ل/م	126
تَخاوَضَ	ل	123
اِخْتاضَ	ل/م	117
تَخَوَّط	م	126
خَوَّعَ	ل/م	112
تَخَوَّعَ	ل/م	126
خافَ	ل/م	36
خَوَّفَ	م	122
خاوَفَ	م	109
أَخافَ	ل/م	105
تَخَوَّفَ	ل/م	126
خَوِقَ	ل	35
خَوَّقَ	م	112
أَخاقَ	ل	105
تَخَوَّقَ	ل	126
اِنْخاقَ	ل	112
خالَ	ل/م	34
خالَ	ل	36
خَوَّلَ	م	112
أَخْوَلَ	ل/م	102
أَخالَ	ل/م	105
تَخَوَّلَ	م	126
اِسْتَخْوَلَ	ل/م	129
خامَ	ل	34
خَوَّمَ	ل	112
أَخامَ	ل	105
خانَ	م	34
خَوَّنَ	م	112
تَخَوَّنَ	ل/م	126
اِخْتانَ	م	117
خَوَى	ل/م	43
خَوِيَ	ل	42
خَوَّى	ل/م	113
أَخْوَى	ل/م	104
اِخْتَوَى	ل/م	116
خابَ	ل	45
خَيَّبَ	م	112
خاتَ	ل/م	45
اِخْتاتَ	م	117
خارَ	ل/م	45
خَيَّرَ	ل/م	112
خايَرَ	م	109
تَخَيَّرَ	م	126
تَخايَرَ	ل	123
اِخْتارَ	م	117
اِسْتَخارَ	م	132
خاسَ	ل/م	45
خَيَّسَ	ل/م	112
تَخَيَّسَ	ل	126
خاشَ	ل	45
خَيَّشَ	م	112
خاصَ	ل	45
خَيِصَ	ل	46
خاطَ	ل/م	45
خَيِطَ	ل	46
خَيَّطَ	م	112
تَخَيَّطَ	ل	126
اِخْتاطَ	م/ل	117
خَيِفَ	ل	46
خَيَّفَ	ل/م	112
أَخافَ	ل	105
أَخْيَفَ	ل	102
تَخَيَّفَ	ل	126
اِخْتافَ	ل	117
خالَ	ل/م	47
خَيَّلَ	ل/م	112
أَخْيَلَ	ل/م	102
تَخَيَّلَ	ل/م	126
تَخايَلَ	ل	123
اِخْتالَ	ل	117
اِسْتَخالَ	م	132
خامَ	ل/م	45
خَيَّمَ	ل/م	112
أَخامَ	ل/م	105
أَخْيَمَ	م	102
تَخَيَّمَ	ل/م	126
دَأَبَ	ل/م	26
أَدْأَبَ	م	102
دَأَثَ	ل/م	26
دَأَظَ	ل/م	26
دَأَلَ	ل/م	26
داءَلَ	م	109
دَأَمَ	م	26
تَدَأَّمَ	م	126
تَداءَمَ	ل/م	123
دَءا	ل	29
دَأَى	ل	32
دَبَأَ	ل/م	14
دَبَّأَ	م/ل	112
دَبَّ	ل	9
دَبَّ	ل	10
دَبَّبَ	م	112
أَدَبَّ	م	103
دَبَجَ	م	1
دَبَّجَ	م	112
دَبَّح	ل/م	112
اِنْدَبَحَ	ل	119
دَبَّخَ	ل	112
دَبَرَ	ل/م	1
دَبِرَ	ل	4
دَبَّرَ	م/ل	112
دابَرَ	ل/م	109
أَدْبَرَ	ل/م	102
تَدَبَّرَ	م/ل	126
تَدابَرَ	ل	123
اِسْتَدْبَرَ	م	129
دَبَّسَ	م	112
أَدْبَسَ	ل	102
اِدْبَسَّ	م	128
دَبَشَ	م/ل	2
دَبَغَ	م	1
دَبَّغَ	م	112
اِنْدَبَغَ	ل	119
دَبَقَ	م	2
دَبِقَ	ل	4
دَبَّقَ	م	112
تَدَبَّقَ	ل	126
دَبَلَ	م	1
دَبِلَ	ل	4
دَبَّلَ	م	112
دَبَى	ل	21
أَدْبَى	ل	104
دَثَّ	ل/م	8
دَثَرَ	ل	1
دَثَّرَ	ل/م	112
تَدَثَّرَ	ل/م	126
تَداثَرَ	ل	123
اِنْدَثَرَ	ل	119
اِدَّثَرَ	ل/م	119
دَجَّ	ل/م	8
دَجَّجَ	ل/م	112
تَدَجَّجَ	ل	126
دَجِرَ	ل	4
داجَرَ	ل	109
اِنْدَجَرَ	ل	119
دَجَلَ	ل/م	1
دَجَّلَ	ل/م	112
دَجَم	ل	1
دَجِمَ	ل	4
دَجَنَ	ل	1
داجَنَ	م	109
أَدْجَنَ	ل	102
دَجا	ل/م	17
داجَى	م	111
أَدْجَى	ل/م	104
تَدَجَّى	ل/م	127
دَحَبَ	م	3
دَحَجَ	م	3
دَحَّ	ل/م	8
اِنْدَحَّ	ل	120
دَحَرَ	م	3
اِنْدَحَرَ	ل	119
دَحَسَ	ل/م	3
أَدْحَسَ	ل	102
دَحَصَ	ل/م	3
دَحَضَ	ل/م	3
أَدْحَضَ	م	102
دَحَقَ	ل/م	3
أَدْحَقَ	م	102
اِنْدَحَقَ	ل	119
دَحَلَ	ل/م	3
دَحِلَ	ل	4
داحَلَ	م	109
أَدْحَلَ	ل	102
دَحَمَ	م	3
دَحِنَ	ل	4
دَحا	ل/م	17
داحَى	م	111
تَدَحَّى	ل	127
تَداحَى	ل	125
اِنْدَحَى	ل	121
اِدْحَوَى	ل	116
دَخَّ	م	8
دَخَّ	ل	10
دَخَرَ	ل	3
دَخِرَ	ل	4
أَدْخَرَ	م	102
اِدَّخَرَ	م	118
دَخَسَ	ل/م	1
دَخِسَ	ل	4
أَدْخَسَ	ل/م	102
دَخَلَ	م/ل	1
دَخِلَ	ل	4
دَخَّلَ	م	112
داخَلَ	ل/م	109
أَدْخَلَ	م	102
تَدَخَّلَ	ل	126
تَداخَلَ	ل/م	123
اِدَّخَلَ	ل/م	118
دَخَنَ	ل	1/2/3
دَخُنَ	ل	7
دَخِنَ	ل	4
دَخَّنَ	ل/م	112
أَدْخَنَ	ل	102
تَدَخَّنَ	ل	126
اِدَّخَنَ	ل	118
دَرَأَ	ل/م	14
دارَأَ	م	109
أَدْرَأَ	ل	102
تَدَرَّأَ	ل	126
تَدارَأَ	ل	123
اِدّارَأَ	ل	123
اِنْدَرَأَ	ل	119
اِدَّرَأَ	ل/م	118
دَرِبَ	ل	4
دَرَّبَ	م	112
أَدْرَبَ	ل	102
تَدَرَّبَ	ل	126
دَرَجَ	ل/م	1
دَرِجَ	ل	4
دَرَّجَ	م	112
أَدْرَجَ	م	102
تَدَرَّجَ	ل	126
اِنْدَرَجَ	ل	119
اِسْتَدْرَجَ	م	129
دَرَحَ	م	3
دَرِحَ	ل	4
دَرِدَ	ل	4
أَدْرَدَ	م	102
دَرَّ	ل	8/9
دَرَّ	ل	10
أَدَرَّ	ل/م	103
اِسْتَدَرَّ	ل/م	130
دَرِزَ	ل	4
دَرَسَ	ل/م	1
دَرَّسَ	م	112
دارَسَ	م	109
أَدْرَسَ	م	102
تَدارَسَ	م	123
اِدَّارَسَ	م	123
دَرِصَ	ل	4
دَرَعَ	م	3
دَرِعَ	ل	4
دَرَّعَ	ل/م	112
أَدْرَعَ	ل/م	102
تَدَرَّعَ	م/ل	126
اِنْدَرَعَ	ل	119
اِدَّرَعَ	ل/م	118
دَرَّقَ	م	112
تَدَرَّقَ	ل	126
دَرَّكَ	ل	112
دارَكَ	م	109
أَدْرَكَ	ل/م	102
تَدارَكَ	ل/م	123
اِدَّارَكَ	ل/م	123
اِدَّرَكَ	ل/م	118
اِسْتَدْرَكَ	م	129
دَرَمَ	ل	2
دَرِمَ	ل	4
دَرَّمَ	م	112
أَدْرَمَ	ل	102
دَرِنَ	ل	4
أَدْرَنَ	ل/م	102
دَرَهَ	ل/م	3
دَرَّهَ	ل	112
تَدَرَّهَ	ل	126
دَرَى	م/ل	21
دارَى	م	111
أَدْرَى	م	104
تَدَرَّى	ل/م	127
اِدَّرَى	ل/م	116
دَسَرَ	م	1
دَسَّ	م	8
دَسَّسَ	م	112
اِنْدَسَّ	ل	120
دَسَعَ	م/ل	3
اِدَّسَعَ	ل	118
دَسِقَ	ل	4
دَسَمَ	ل/م	1
دَسَمَ	م	2
دَسِمَ	ل	4
دَسَّمَ	م	112
أَدْسَمَ	م	102
تَدَسَّمَ	ل	126
دَسا	ل	17
دَسَّى	م	113
تَدَسَّى	ل	127
دَشَّ	ل/م	8
دَعَبَ	ل/م	3
دَعِبَ	ل	4
داعَبَ	م	109
أَدْعَبَ	ل	102
تَدَعَّبَ	ل	126
تَداعَبَ	ل	123
دَعَثَ	م	3
دَعِثَ	ل	4
أَدْعَثَ	ل/م	102
تَدَعَّثَ	ل	126
اِنْدَعَثَ	ل	119
دَعِجَ	ل	4
دَعَرَ	ل	3
دَعِرَ	ل	4
تَدَعَّرَ	ل	126
دَعَسَ	م	3
داعَسَ	م	109
أَدْعَسَ	م	102
دَعَصَ	ل/م	3
داعَصَ	م	109
أَدْعَصَ	ل/م	102
تَدَعَّصَ	ل	126
اِنْدَعَصَ	ل	119
دَعَّ	م	8
أَدَعَّ	ل	103
دَعَقَ	م	3
أَدْعَقَ	ل/م	102
دَعَكَ	م	3
دَعِكَ	ل	4
داعَكَ	م	109
تَداعَكَ	ل	123
دَعَلَ	م	1
داعَلَ	م	109
دَعَمَ	م	3
دَعَّمَ	م	112
تَداعَمَ	ل	123
اِدَّعَمَ	ل	118
دَعَنَ	ل	3
أَدْعَنَ	م	102
دَعا	ل/م	17
دَعَّى	ل	113
داعَى	م	111
تَدَعَّى	ل	127
تَداعَى	ل	125
اِنْدَعَى	ل	121
اِدَّعَى	ل/م	116
اِسْتَدْعَى	م	131
دَغَرَ	ل/م	2
تَدَغَّرَ	ل	126
دَغَشَ	ل	3
داغَشَ	ل/م	109
أَدْغَشَ	ل	102
تَداغَشَ	ل	123
دَغِصَ	ل	4
داغَصَ	م/ل	109
أَدْغَصَ	م	102
دَغَفَ	م	3
دَغَلَ	ل	3
أَدْغَلَ	ل/م	102
دَغَمَ	ل/م	3
دَغِمَ	ل/م	4
أَدْغَمَ	ل/م	102
اِدَّغَمَ	م	118
اِدْغامَّ	ل	135
دَغَنَ	ل	1
دَفُؤَ	ل	16
دَفِئَ	ل	15
دَفَّأَ	م	112
دافَأَ	م	109
أَدْفَأَ	ل/م	102
تَدَفَّأَ	ل	126
اِدَّفَأَ	ل	118
اِسْتَدْفَأَ	ل	129
دَفَرَ	م	1
دَفِرَ	ل	4
أَدْفَرَ	ل	102
دَفَعَ	ل/م	3
دَفَّعَ	م	112
دافَعَ	ل/م	109
تَدَفَّعَ	ل	126
تَدافَعَ	ل/م	123
اِنْدَفَعَ	ل	119
اِسْتَدْفَعَ	م	129
دَفَّ	ل	8
دَفَّ	ل/م	9
دفَّفَ	ل/م	112
دافَّ	م	110
أَدَفَّ	ل	103
تَدافَّ	ل	124
اِسْتَدَفَّ	ل	130
دَفَقَ	م	1
دَفِقَ	ل	4
دَفَّقَ	م	112
أَدْفَقَ	م	102
تَدَفَّقَ	ل	126
اِنْدَفَقَ	ل	119
اِسْتَدْفَقَ	ل	129
دَفَنَ	ل/م	2
تَدَفَّنَ	ل	126
تَدافَنَ	ل	123
اِنْدَفَنَ	ل	119
اِدَّفَنَ	ل/م	118
دَفا	م	17
دَفِيَ	ل	19
دافَى	م	111
أَدْفَى	ل/م	104
تَدافَى	ل	125
دَقِرَ	ل	4
دَقَسَ	ل/م	1
دَقِعَ	ل	4
أَدْقَعَ	ل/م	102
دَقَّ	ل	9
دَقَّقَ	ل/م	112
أَدَقَّ	ل/م	103
تَداقَّ	ل	124
اِسْتَدَقَّ	ل/م	130
دَقَلَ	ل/م	1
أَدْقَلَ	ل	102
دَقَمَ	م	1
دَقِمَ	ل	4
أَدْقَمَ	م	102
دَقَنَ	ل/م	1
دَقِيَ	ل	23
دَكَسَ	م	1
دَكِسَ	ل	4
تَداكَسَ	ل	123
دَكَعَ	ل	3
دَكَّ	م	8
دَكَّ	ل	10
تَداكَّ	ل	124
اِنْدَكَّ	ل	103
دَكَلَ	م	1
دَكَّلَ	م	112
تَدَكَّلَ	ل	126
دَكَمَ	م	1
دَكَّمَ	م	112
تَداكَمَ	ل	123
دَكَنَ	م	1
دَكِنَ	ل	4
دَكَّنَ	م	112
أَدْكَنَ	ل	102
دَلَثَ	ل	2
تَدَلَّثَ	ل	126
اِنْدَلَثَ	ل	119
اِدَّلَثَ	م	118
دَلَجَ	ل	1/2
أَدْلَجَ	ل	102
اِدَّلَجَ	ل	118
دَلَحَ	ل	3
تَدالَحَ	م	123
دَلِخَ	ل	4
دَلَّسَ	ل/م	112
دالَسَ	م	109
أَدْلَسَ	ل	102
تَدَلَّسَ	ل/م	126
اِنْدَلَسَ	ل	119
دَلَصَ	ل/م	1
دَلِصَ	ل	4
دَلَّصَ	م	112
أَدْلَصَ	م	102
اِنْدَلَصَ	ل	119
دَلَظَ	ل/م	2
دالَظَ	م	109
اِنْدَلَظَ	ل	119
دَلَعَ	ل/م	3
أَدْلَعَ	م	102
اِنْدَلَعَ	ل	119
اِدَّلَعَ	ل	118
دَلَفَ	ل	2
أَدْلَفَ	م	102
تَدَلَّفَ	ل	126
اِنْدَلَفَ	ل	119
دَلَقَ	ل/م	1
أَدْلَقَ	م	102
تَدَلَّقَ	ل	126
اِنْدَلَقَ	ل	119
اِسْتَدْلَقَ	م	129
دَلَكَ	ل/م	1
دَلَّكَ	م	112
دالَكَ	م	109
تَدَلَّكَ	ل	126
دَلَّ	ل	8/9
دَلَّلَ	م	112
أَدَلَّ	ل	103
تَدَلَّلَ	ل	126
اِنْدَلَّ	ل	120
اِسْتَدَلَّ	ل	130
دَلِمَ	ل	4
اِدْلامَّ	ل	135
دَلَهَ	ل	3
دَلِهَ	ل	4
دَلَّهَ	م	112
تَدَلَّهَ	ل	126
دَلا	م/ل	17
دَلِيَ	ل	23
دَلَّى	م	113
دالَى	م	111
أَدْلَى	ل/م	104
تَدَلَّى	ل	127
اِدْلَوْلَى	ل	134
دَمُثَ	ل	7
دَمِثَ	ل	4
دَمَّثَ	م	112
دَمَجَ	ل/م	1
دامَجَ	م	109
أَدْمَجَ	م	102
تَدَمَّجَ	ل	126
تَدامَجَ	ل	123
اِنْدَمَجَ	ل	119
اِدَّمَجَ	ل	118
دَمَرَ	ل	1
دَمَّرَ	م	112
دامَرَ	م	109
دَمَسَ	ل/م	1/2
دَمِسَ	ل	4
دَمَّسَ	م	112
دامَسَ	م	109
أَدْمَسَ	ل/م	102
تَدَمَّسَ	ل	126
اِنْدَمَسَ	ل	119
دَمِشَ	ل	4
دَمَّشَ	م	112
أَدْمَشَ	م	102
دَمَصَ	ل	1
دَمِصَ	ل	4
دَمَعَ	ل/م	3
أَدْمَعَ	م	102
دَمَغَ	م	3
دَمَّغَ	م	112
أَدْمَغَ	م	102
دَمَقَ	ل/م	1
دَمَّقَ	م	112
اِنْدَمَقَ	ل	119
دَمَكَ	ل/م	1
دَمَلَ	م	1
دَمِلَ	ل	4
دامَلَ	م	109
أَدْمَلَ	م	102
تَدَمَّلَ	ل	126
تَدامَلَ	ل	123
اِنْدَمَلَ	ل	119
اِدَّمَلَ	ل	118
دَمَّ	ل/م	8/9
دَمَّ	ل	10
أَدَمَّ	ل	103
دَمَنَ	م	1
دَمِنَ	ل	4
دَمَّنَ	م	112
أَدْمَنَ	م	102
تَدَمَّنَ	ل	126
دَمِيَ	ل	23
دَمَّى	م	113
أَدْمَى	م	104
اِسْتَدْمَى	ل/م	131
دَنُؤَ	ل	16
دَنِئَ	ل	15
أَدْنَأَ	ل	102
تَدَنَّأَ	ل/م	126
دَنَحَ	ل	3
دَنَخَ	ل	3
دَنَّرَ	ل/م	112
تَدَنَّرَ	ل	126
دَنِسَ	ل	4
دَنَّسَ	م	112
تَدَنَّسَ	ل	126
دَنِفَ	ل	4
أَدْنَفَ	ل/م	102
دَنَقَ	ل	1
دَنَّقَ	ل	112
دَنَّ	ل	9
دَنَّ	ل/م	10
دَنَّنَ	ل	112
أَدَنَّ	ل	103
دَنا	ل	17
دَنَّى	ل/م	113
دانَى	م/ل	111
أَدْنَى	ل/م	104
تَدَنَّى	ل	127
تَدانَى	ل	125
اِسْتَدْنَى	م	131
دَهَثَ	م	3
دَهَرَ	م/ل	3
داهَرَ	م	109
دَهُسَ	ل	7
دَهِسَ	ل	4
أَدْهَسَ	ل	102
اِدْهاسَّ	ل	135
دَهَشَ	م	3
دَهِشَ	ل	4
دَهَّشَ	ل	112
أَدْهَشَ	م	102
دَهَفَ	م	3
أَدْهَفَ	م	102
دَهَقَ	م	3
دَهَّقَ	م	112
أَدْهَقَ	م	102
اِدَّهَقَ	ل/م	118
دَهَكَ	م	3
دَهَمَ	م	3
دَهِمَ	ل	4
دَهَّمَ	م	112
أَدْهَمَ	م	102
اِدْهَمَّ	ل	128
اِدْهامَّ	ل	135
دَهَنَ	ل/م	1
دَهُنَ	ل	7
دَهَّنَ	م	112
داهَنَ	ل/م	109
أَدْهَنَ	ل/م	102
تَدَهَّنَ	ل	126
اِدْهانَّ	ل	135
دَها	م/ل	17
دَهَى	م	22
دَهُوَ	ل	20
دَهِيَ	ل	23
دَهَّى	م	113
داهَى	م	111
أَدْهَىَ	ل/م	104
تَدَهَّى	ل	127
داءَ	ل	40
أَداءَ	ل/م	105
أَدْوَأَ	ل/م	102
داجَ	ل	34
داحَ	ل	34
دَوَّحَ	م	112
تَدَوَّحَ	ل	126
اِنْداحَ	ل	122
داخَ	ل/م	34
دَوَّخَ	م	112
أَداخَ	م	105
دادَ	ل	34
دادَ	ل	36
دَوَّدَ	ل	112
أَدادَ	ل	105
دارَ	ل/م	34
دَوَّرَ	م	112
داوَرَ	م	109
أَدارَ	ل/م	105
اِسْتَدارَ	ل	132
داسَ	م	34
دَوَّسَ	م	112
أَداسَ	م	105
اِنْداسَ	ل	122
داشَ	ل	34
دَوِشَ	ل	35
دافَ	م	34
أَدافَ	م	105
داقَ	ل/م	34
دَوَّقَ	م	112
أَداقَ	ل	105
تَدَوَّقَ	ل	126
اِنْداقَ	ل	122
داكَ	ل	34
تَداوَكَ	ل	123
دالَ	ل	34
دَوَّلَ	م	112
داوَلَ	م	109
أَدالَ	م	105
تَداوَلَ	م	123
اِنْدالَ	ل	122
اِسْتَدالَ	م	132
دامَ	ل	34
