	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak	url
1763	أَثَنَّ	ل	103	أثن	أثنّ	ءثن	ثن	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أثنّ
1764	ثَنَى	م	21	ثنى	ثنى	ثنى	ثن	3		ناقص يائي	http://qutrub.arabeyes.org/verb/ثنى
1765	ثَنَّى	م/ل	113	ثنى	ثنّى	ثنى	ثن	4	مضعف	ناقص	http://qutrub.arabeyes.org/verb/ثنّى
1766	أَثْنَى	ل	104	أثنى	أثنى	ءثنى	ثن	4	مهموز	ناقص	http://qutrub.arabeyes.org/verb/أثنى
1767	تَثَنَّى	ل	127	تثنى	تثنّى	تثنى	تثن	5	مضعف	ناقص	http://qutrub.arabeyes.org/verb/تثنّى
1768	تَثانَى	ل	125	تثانى	تثانى	تثانى	تثن	5		ناقص	http://qutrub.arabeyes.org/verb/تثانى
1769	اِنْثَنَى	ل	121	انثنى	انثنى	انثنى	نثن	5		ناقص	http://qutrub.arabeyes.org/verb/انثنى
1770	اِثَّنَى	ل	116	اثنى	اثّنى	اثنى	ثن	5	مضعف	ناقص	http://qutrub.arabeyes.org/verb/اثّنى
1771	اِسْتَثْنَى	م	131	استثنى	استثنى	استثنى	ستثن	6		ناقص	http://qutrub.arabeyes.org/verb/استثنى
1772	ثابَ	ل	34	ثاب	ثاب	ثاب	ثب	3		أجوف واوي	http://qutrub.arabeyes.org/verb/ثاب
1773	ثَوَّبَ	ل/م	112	ثوب	ثوّب	ثوب	ثب	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/ثوّب
1774	ثاوَبَ	م	109	ثاوب	ثاوب	ثاوب	ثب	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/ثاوب
1775	أَثابَ	م	105	أثاب	أثاب	ءثاب	ثب	4	مهموز	أجوف	http://qutrub.arabeyes.org/verb/أثاب
1776	تَثَوَّبَ	ل	126	تثوب	تثوّب	تثوب	تثب	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تثوّب
1777	اِسْتَثابَ	م	132	استثاب	استثاب	استثاب	ستثب	6		أجوف	http://qutrub.arabeyes.org/verb/استثاب
1778	ثارَ	ل	34	ثار	ثار	ثار	ثر	3		أجوف واوي	http://qutrub.arabeyes.org/verb/ثار
1779	ثوَّرَ	م	112	ثور	ثوّر	ثور	ثر	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/ثوّر
1780	ثاوَرَ	م	109	ثاور	ثاور	ثاور	ثر	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/ثاور
1781	أَثارَ	م	105	أثار	أثار	ءثار	ثر	4	مهموز	أجوف	http://qutrub.arabeyes.org/verb/أثار
1782	تَثَوَّرَ	ل	126	تثور	تثوّر	تثور	تثر	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تثوّر
1783	تَثاوَرَ	ل	123	تثاور	تثاور	تثاور	تثر	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/تثاور
1784	اِسْتَثارَ	م	132	استثار	استثار	استثار	ستثر	6		أجوف	http://qutrub.arabeyes.org/verb/استثار
1785	ثالَ	ل/م	34	ثال	ثال	ثال	ثل	3		أجوف واوي	http://qutrub.arabeyes.org/verb/ثال
1786	ثَوِلَ	ل	35	ثول	ثول	ثول	ثل	3			http://qutrub.arabeyes.org/verb/ثول
1787	تَثَوَّلَ	ل	126	تثول	تثوّل	تثول	تثل	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تثوّل
1788	اِنْثالَ	ل	122	انثال	انثال	انثال	نثل	5		أجوف	http://qutrub.arabeyes.org/verb/انثال
1789	ثَوَى	ل	43	ثوى	ثوى	ثوى	ث	3		لفيف مقرون	http://qutrub.arabeyes.org/verb/ثوى
1790	ثَوَّى	م	113	ثوى	ثوّى	ثوى	ث	4	مضعف	ناقص	http://qutrub.arabeyes.org/verb/ثوّى
1791	أَثْوَى	ل/م	104	أثوى	أثوى	ءثوى	ث	4	مهموز	ناقص	http://qutrub.arabeyes.org/verb/أثوى
1792	تَثَوَّى	م	127	تثوى	تثوّى	تثوى	تث	5	مضعف	ناقص	http://qutrub.arabeyes.org/verb/تثوّى
1793	جَأَبَ	ل	26	جأب	جأب	جءب	جب	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جأب
1794	جَأَثَ	ل	26	جأث	جأث	جءث	جث	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جأث
1795	جَئِثَ	ل	27	جئث	جئث	جءث	جث	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جئث
1796	أَجْأَثَ	م	102	أجأث	أجأث	ءجءث	جث	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجأث
1797	اِنْجَأَثَ	ل	119	انجأث	انجأث	انجءث	نجث	5	مهموز	صحيح	http://qutrub.arabeyes.org/verb/انجأث
1798	جَأَرَ	ل	26	جأر	جأر	جءر	جر	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جأر
1799	جَئِرَ	ل	27	جئر	جئر	جءر	جر	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جئر
1800	جَئِزَ	ل	27	جئز	جئز	جءز	جز	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جئز
1801	أَجْأَزَ	م	102	أجأز	أجأز	ءجءز	جز	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجأز
1802	جَأَشَ	ل	26	جأش	جأش	جءش	جش	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جأش
1803	جَأَفَ	م	26	جأف	جأف	جءف	جف	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جأف
1804	جَأَّفَ	م	112	جأف	جأّف	جءف	جف	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/جأّف
1805	اِنْجَأَفَ	ل	119	انجأف	انجأف	انجءف	نجف	5	مهموز	صحيح	http://qutrub.arabeyes.org/verb/انجأف
1806	اِجْتَأَفَ	م	114	اجتأف	اجتأف	اجتءف	جتف	5	مهموز	صحيح	http://qutrub.arabeyes.org/verb/اجتأف
1807	جَأَى	ل	32	جأى	جأى	جءى	ج	3	مهموز	ناقص يائي	http://qutrub.arabeyes.org/verb/جأى
1808	جَأَى	م	30	جأى	جأى	جءى	ج	3	مهموز	ناقص يائي	http://qutrub.arabeyes.org/verb/جأى
1809	جَئِيَ	ل	31	جئي	جئي	جءي	ج	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جئي
1810	أَجْأَى	م	104	أجأى	أجأى	ءجءى	ج	4	مهموز	ناقص	http://qutrub.arabeyes.org/verb/أجأى
1811	جَبَأَ	ل/م	14	جبأ	جبأ	جبء	جب	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/جبأ
1812	أَجْبَأَ	ل/م	102	أجبأ	أجبأ	ءجبء	جب	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجبأ
1813	جَبَّ	م	8	جب	جبّ	جب	جب	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّ
1814	جَبَّ	ل	10	جب	جبّ	جب	جب	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّ
1815	جَبَّبَ	ل	112	جبب	جبّب	جبب	جب	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّب
1816	جابَّ	م	110	جاب	جابّ	جاب	جب	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جابّ
1817	أَجَبَّ	ل	103	أجب	أجبّ	ءجب	جب	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجبّ
1818	تَجابَّ	ل	124	تجاب	تجابّ	تجاب	تجب	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجابّ
1819	اِنْجَبَّ	ل	120	انجب	انجبّ	انجب	نجب	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/انجبّ
1820	اِجْتَبَّ	ل/م	115	اجتب	اجتبّ	اجتب	جتب	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/اجتبّ
1821	جَبَذَ	ل/م	2	جبذ	جبذ	جبذ	جبذ	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبذ
1822	اِنْجَبَذَ	ل	119	انجبذ	انجبذ	انجبذ	نجبذ	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/انجبذ
1823	اِجْتَبَذَ	م	114	اجتبذ	اجتبذ	اجتبذ	جتبذ	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتبذ
1824	جَبَرَ	ل/م	1	جبر	جبر	جبر	جبر	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبر
1825	جَبَّرَ	م	112	جبر	جبّر	جبر	جبر	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّر
1826	أَجْبَرَ	م	102	أجبر	أجبر	ءجبر	جبر	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجبر
1827	تَجَبَّرَ	ل/م	126	تجبر	تجبّر	تجبر	تجبر	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجبّر
1828	اِنْجَبَرَ	ل	119	انجبر	انجبر	انجبر	نجبر	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/انجبر
1829	اِجْتَبَرَ	ل/م	114	اجتبر	اجتبر	اجتبر	جتبر	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتبر
1830	اِسْتَجْبَرَ	ل/م	129	استجبر	استجبر	استجبر	ستجبر	6	سالم	صحيح	http://qutrub.arabeyes.org/verb/استجبر
1831	جَبَّسَ	م	112	جبس	جبّس	جبس	جبس	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّس
1832	تَجَبَّسَ	ل	126	تجبس	تجبّس	تجبس	تجبس	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجبّس
1833	جَبَلَ	م	1	جبل	جبل	جبل	جبل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبل
1834	جَبِلَ	ل	4	جبل	جبل	جبل	جبل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبل
1835	جَبَّلَ	م	112	جبل	جبّل	جبل	جبل	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّل
1836	جابَلَ	ل	109	جابل	جابل	جابل	جبل	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/جابل
1837	أَجْبَلَ	ل/م	102	أجبل	أجبل	ءجبل	جبل	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجبل
1838	تَجَبَّلَ	ل/م	126	تجبل	تجبّل	تجبل	تجبل	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجبّل
1839	جَبَنَ	ل	1	جبن	جبن	جبن	جبن	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبن
1840	جَبُنَ	ل	7	جبن	جبن	جبن	جبن	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبن
1841	جَبَّنَ	م	112	جبن	جبّن	جبن	جبن	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّن
